recording	collection	word	speaker_lang	context	prompt	token_times_gold	pre_phones_gold	pre_times_gold	v_phones_gold	v_times_gold	post_phones_gold	post_times_gold	token_times_mfa	pre_phones_mfa	pre_times_mfa	v_phones_mfa	v_times_mfa	post_phones_mfa	post_times_mfa
028898-2658129	samromur_L2_22.09	raki	L2	Í töflunni eru aska og [_TOKEN_] ekki talin með.	Í töflunni eru aska og raki ekki talin með.	3.231527690595897-3.74	r	3.231527690595897-3.3034390040003774	aː	3.3034390040003774-3.53	c	3.53-3.62	3.26-3.74	r	3.26-3.29	aː	3.29-3.53	c	3.53-3.62
029002-3262636	samromur_unverified_22.07	maki	L1	Hér er sá meðvirki [_TOKEN_] ættingi eða góður vinur þess sem misnotar vímuefnin.	Hér er sá meðvirki maki, ættingi eða góður vinur þess sem misnotar vímuefnin.	1.16-1.64	m	1.16-1.26	aː	1.26-1.46	c	1.46-1.56	1.16-1.64	m	1.16-1.26	aː	1.26-1.46	c	1.46-1.56
024783-2350650	samromur_unverified_22.07	maki	L1	Skylduerfingjar eru hins vegar aðeins [_TOKEN_] og niðjar arfleifanda, ekki aðrir lögerfingjar.	Skylduerfingjar eru hins vegar aðeins maki og niðjar arfleifanda, ekki aðrir lögerfingjar.	2.92-3.58	m	2.92-3.030800873680379	aː	3.030800873680379-3.2	c	3.2-3.4	2.92-3.58	m	2.92-3.02	aː	3.02-3.2	c	3.2-3.4
030813-3263544	samromur_unverified_22.07	maki	L1	Hér er sá meðvirki [_TOKEN_] ættingi eða góður vinur þess sem misnotar vímuefnin.	Hér er sá meðvirki maki, ættingi eða góður vinur þess sem misnotar vímuefnin.	1.81-2.47	m	1.81-1.9	aː	1.9-2.097455203656514	c	2.097455203656514-2.26	1.81-2.47	m	1.81-1.9	aː	1.9-2.07	c	2.07-2.26
030359-3035048	samromur_unverified_22.07	maki	L1	Hvernig á [_TOKEN_] okkar að vita hvernig okkur líður ef við segjum ekkert?	Hvernig á maki okkar að vita hvernig okkur líður ef við segjum ekkert?	1.1039109331391823-1.5571332043792214	m	1.1039109331391823-1.2	aː	1.2-1.43	cʰ	1.43-1.5	1.09-1.57	m	1.09-1.2	aː	1.2-1.43	cʰ	1.43-1.5
025911-2066232	samromur_unverified_22.07	maki	L1	Hér er sá meðvirki [_TOKEN_] ættingi eða góður vinur þess sem misnotar vímuefnin.	Hér er sá meðvirki maki, ættingi eða góður vinur þess sem misnotar vímuefnin.	1.93-2.43	m	1.93-2.0490086154592886	aː	2.0490086154592886-2.21	c	2.21-2.39	1.93-2.43	m	1.93-2.04	aː	2.04-2.21	c	2.21-2.39
026065-3261977	samromur_unverified_22.07	maki	L1	Hér er sá meðvirki [_TOKEN_] ættingi eða góður vinur þess sem misnotar vímuefnin.	Hér er sá meðvirki maki, ættingi eða góður vinur þess sem misnotar vímuefnin.	2.25-2.73	m	2.25-2.32	aː	2.32-2.4635032156291707	c	2.4635032156291707-2.58	2.25-2.73	m	2.25-2.32	aː	2.32-2.44	c	2.44-2.58
022966-1821756	samromur_unverified_22.07	maki	L1	[_TOKEN_] í skilningi þessara lagagreina er ávallt aðili í hjónabandi eða vígðri sambúð.	Maki í skilningi þessara lagagreina er ávallt aðili í hjónabandi eða vígðri sambúð.	1.4-1.9710593374590462	m	1.4-1.49	aː	1.49-1.697838247785463	c	1.697838247785463-1.84	1.4-2.0	m	1.4-1.49	aː	1.49-1.67	c	1.67-1.84
003407-0026090	samromur_21.05	maki	L1	[_TOKEN_] er annar meðlimur í hjónabandi, staðfestri samvist eða óvígðri sambúð.	Maki er annar meðlimur í hjónabandi, staðfestri samvist eða óvígðri sambúð.	0.66-1.27	m	0.66-0.7456289689762569	aː	0.7456289689762569-1.0	c	1.0-1.08	0.66-1.27	m	0.66-0.73	aː	0.73-1.0	c	1.0-1.08
027201-2348337	samromur_unverified_22.07	maki	L1	Skylduerfingjar eru hins vegar aðeins [_TOKEN_] og niðjar arfleifanda, ekki aðrir lögerfingjar.	Skylduerfingjar eru hins vegar aðeins maki og niðjar arfleifanda, ekki aðrir lögerfingjar.	4.11-4.85	m	4.11-4.25	aː	4.25-4.55	cʰ	4.55-4.63	4.11-4.85	m	4.11-4.25	aː	4.25-4.55	cʰ	4.55-4.63
016641-0870576	samromur_unverified_22.07	maki	L1	Þegar hann náði þroska var honum útvegaður [_TOKEN_] sem var venjuleg á litin.	Þegar hann náði þroska var honum útvegaður maki sem var venjuleg á litin.	3.32-3.98	m	3.32-3.458938235651013	aː	3.458938235651013-3.68	c	3.68-3.85	3.32-3.98	m	3.32-3.45	aː	3.45-3.68	c	3.68-3.85
019502-1398830	samromur_unverified_22.07	maki	L1	[_TOKEN_] hins látna greiðir engan erfðafjárskatt.	Maki hins látna greiðir engan erfðafjárskatt.	0.47-0.86	m	0.47-0.53	aː	0.53-0.68	c	0.68-0.83	0.47-0.86	m	0.47-0.53	aː	0.53-0.68	c	0.68-0.83
026511-2120864	samromur_unverified_22.07	maki	L1	Skylduerfingjar eru hins vegar aðeins [_TOKEN_] og niðjar arfleifanda, ekki aðrir lögerfingjar.	Skylduerfingjar eru hins vegar aðeins maki og niðjar arfleifanda, ekki aðrir lögerfingjar.	3.55-4.078805970149253	m	3.55-3.64	aː	3.64-3.88	cʰ	3.88-3.96	3.55-4.09	m	3.55-3.64	aː	3.64-3.88	cʰ	3.88-3.96
030163-3261020	samromur_unverified_22.07	maki	L1	Hér er sá meðvirki [_TOKEN_] ættingi eða góður vinur þess sem misnotar vímuefnin.	Hér er sá meðvirki maki, ættingi eða góður vinur þess sem misnotar vímuefnin.	1.43-1.93	m	1.43-1.49	aː	1.49-1.71	cʰ	1.71-1.82	1.43-1.93	m	1.43-1.49	aː	1.49-1.71	cʰ	1.71-1.82
025976-2008478	samromur_unverified_22.07	maki	L1	Þegar hann náði þroska var honum útvegaður [_TOKEN_] sem var venjuleg á litin.	Þegar hann náði þroska var honum útvegaður maki sem var venjuleg á litin.	3.38-4.0	m	3.38-3.49	aː	3.49-3.74	cʰ	3.74-3.83	3.38-4.0	m	3.38-3.49	aː	3.49-3.74	cʰ	3.74-3.83
021583-1770141	samromur_unverified_22.07	maki	L1	Þegar [_TOKEN_] fellur frá, fyllir annar fljótt í skarðið.	Þegar maki fellur frá, fyllir annar fljótt í skarðið.	1.35-1.72	m	1.35-1.41	aː	1.41-1.6	cʰ	1.6-1.67	1.35-1.72	m	1.35-1.41	aː	1.41-1.6	cʰ	1.6-1.67
024153-1784215	samromur_unverified_22.07	maki	L1	[_TOKEN_] hins látna greiðir engan erfðafjárskatt.	Maki hins látna greiðir engan erfðafjárskatt.	0.68-1.01	m	0.68-0.74	aː	0.74-0.88	c	0.88-0.98	0.68-1.01	m	0.68-0.74	aː	0.74-0.88	c	0.88-0.98
022984-1622746	samromur_unverified_22.07	maki	L1	Þegar hann náði þroska var honum útvegaður [_TOKEN_] sem var venjuleg á litin.	Þegar hann náði þroska var honum útvegaður maki sem var venjuleg á litin.	2.95-3.55	m	2.95-3.0	aː	3.0-3.24	cʰ	3.24-3.34	2.95-3.55	m	2.95-3.0	aː	3.0-3.24	cʰ	3.24-3.34
016127-1072148	samromur_unverified_22.07	maki	L1	Þegar [_TOKEN_] fellur frá, fyllir annar fljótt í skarðið.	Þegar maki fellur frá, fyllir annar fljótt í skarðið.	1.3-1.8	m	1.3-1.39	aː	1.39-1.63	cʰ	1.63-1.74	1.3-1.8	m	1.3-1.39	aː	1.39-1.63	cʰ	1.63-1.74
026065-2343334	samromur_unverified_22.07	maki	L1	Skylduerfingjar eru hins vegar aðeins [_TOKEN_] og niðjar arfleifanda, ekki aðrir lögerfingjar.	Skylduerfingjar eru hins vegar aðeins maki og niðjar arfleifanda, ekki aðrir lögerfingjar.	3.18-3.700445536544918	m	3.18-3.268803927351646	aː	3.268803927351646-3.4645759009828905	c	3.4645759009828905-3.6	3.18-3.73	m	3.18-3.26	aː	3.26-3.42	c	3.42-3.6
030399-3260748	samromur_unverified_22.07	maki	L1	Hér er sá meðvirki [_TOKEN_] ættingi eða góður vinur þess sem misnotar vímuefnin.	Hér er sá meðvirki maki, ættingi eða góður vinur þess sem misnotar vímuefnin.	1.15-1.57	m	1.15-1.22	aː	1.22-1.368438296323262	c	1.368438296323262-1.45	1.15-1.57	m	1.15-1.22	aː	1.22-1.35	c	1.35-1.45
021532-1545540	samromur_unverified_22.07	maki	L1	[_TOKEN_] í skilningi þessara lagagreina er ávallt aðili í hjónabandi eða vígðri sambúð.	Maki í skilningi þessara lagagreina er ávallt aðili í hjónabandi eða vígðri sambúð.	0.5-1.09	m	0.5-0.6	aː	0.6-0.83	c	0.83-0.92	0.5-1.09	m	0.5-0.6	aː	0.6-0.83	c	0.83-0.92
008597-0193497	samromur_unverified_22.07	maki	L1	[_TOKEN_] hins látna greiðir engan erfðafjárskatt.	Maki hins látna greiðir engan erfðafjárskatt.	0.63-1.08	m	0.63-0.745898353759657	aː	0.745898353759657-0.93	cʰ	0.93-1.04	0.63-1.08	m	0.63-0.74	aː	0.74-0.93	cʰ	0.93-1.04
023576-1677121	samromur_unverified_22.07	maki	L1	Hér er sá meðvirki [_TOKEN_] ættingi eða góður vinur þess sem misnotar vímuefnin.	Hér er sá meðvirki maki, ættingi eða góður vinur þess sem misnotar vímuefnin.	1.81-2.35	m	1.81-1.912537313432836	aː	1.912537313432836-2.04	c	2.04-2.21	1.81-2.35	m	1.81-1.9	aː	1.9-2.04	c	2.04-2.21
028284-3263636	samromur_unverified_22.07	maki	L1	Hér er sá meðvirki [_TOKEN_] ættingi eða góður vinur þess sem misnotar vímuefnin.	Hér er sá meðvirki maki, ættingi eða góður vinur þess sem misnotar vímuefnin.	2.31-2.91	m	2.31-2.4	aː	2.4-2.67	c	2.67-2.73	2.31-2.91	m	2.31-2.4	aː	2.4-2.67	c	2.67-2.73
029406-2826657	samromur_unverified_22.07	malla	L1	[_TOKEN_] hækkaðu í hátalaranum.	Malla, hækkaðu í hátalaranum.	0.76-1.17	m	0.76-0.81	a	0.81-0.8697088658004011	l	0.8697088658004011-0.95	0.76-1.17	m	0.76-0.81	a	0.81-0.86	l	0.86-0.95
029682-2833948	samromur_unverified_22.07	malla	L1	[_TOKEN_] hækkaðu í hátalaranum.	Malla, hækkaðu í hátalaranum.	0.13-0.66	m	0.13-0.25	a	0.25-0.3298966163731386	l	0.3298966163731386-0.46	0.13-0.66	m	0.13-0.25	a	0.25-0.28	l	0.28-0.46
026828-2844901	samromur_unverified_22.07	malla	L1	[_TOKEN_] hækkaðu í hátalaranum.	Malla, hækkaðu í hátalaranum.	0.62-1.03	m	0.62-0.68	a	0.68-0.7369553398840207	l	0.7369553398840207-0.9	0.62-1.03	m	0.62-0.68	a	0.68-0.73	l	0.73-0.9
022056-1769982	samromur_unverified_22.07	malla	L1	[_TOKEN_] hefur þú prófað nýja leikinn?	Malla, hefur þú prófað nýja leikinn?	0.38-0.71	m	0.38-0.44	a	0.44-0.5126294700386598	l	0.5126294700386598-0.6368623147551545	0.38-0.71	m	0.38-0.44	a	0.44-0.5	l	0.5-0.63
021870-1568969	samromur_unverified_22.07	malla	L1	[_TOKEN_] hvaða leikir eru í kvöld?	Malla, hvaða leikir eru í kvöld?	0.33-0.64	m	0.33-0.3811721658433562	a	0.3811721658433562-0.4261003051617984	l	0.4261003051617984-0.5806092720861971	0.33-0.64	m	0.33-0.38	a	0.38-0.41	l	0.41-0.57
023140-1620136	samromur_unverified_22.07	malla	L1	[_TOKEN_] hvernig verður veðrið á morgun?	Malla, hvernig verður veðrið á morgun?	0.5-0.93	m	0.5-0.5603408012958191	a	0.5603408012958191-0.64	l	0.64-0.770859710588488	0.5-0.93	m	0.5-0.55	a	0.55-0.64	l	0.64-0.76
029326-2827518	samromur_unverified_22.07	malla	L1	[_TOKEN_] hækkaðu í hátalaranum.	Malla, hækkaðu í hátalaranum.	0.5-1.03	m	0.5-0.59	a	0.59-0.6717944363903208	l	0.6717944363903208-0.8	0.5-1.03	m	0.5-0.59	a	0.59-0.65	l	0.65-0.8
011716-0301915	samromur_unverified_22.07	malla	L1	Að baki alla [_TOKEN_] er án efa upphrópunin almáttugur.	Að baki alla malla er án efa upphrópunin almáttugur.	1.97-2.37	m	1.97-2.05	a	2.05-2.11	l	2.11-2.23	1.97-2.37	m	1.97-2.05	a	2.05-2.11	l	2.11-2.23
012156-0317097	samromur_unverified_22.07	malla	L1	alla [_TOKEN_] var því ágæt lausn	alla malla var því ágæt lausn	0.94-1.36	m	0.94-1.02	a	1.02-1.08	l	1.08-1.24	0.94-1.36	m	0.94-1.02	a	1.02-1.08	l	1.08-1.24
026709-2502653	samromur_unverified_22.07	malla	L1	[_TOKEN_] hefur þú prófað nýja leikinn?	Malla, hefur þú prófað nýja leikinn?	0.55-0.91	m	0.55-0.6	a	0.6-0.6692356636597939	l	0.6692356636597939-0.76	0.55-0.91	m	0.55-0.6	a	0.6-0.66	l	0.66-0.76
024757-2903132	samromur_unverified_22.07	malla	L1	[_TOKEN_] hvenær kemur fimman?	Malla, hvenær kemur fimman?	0.72-1.03	m	0.72-0.77	a	0.77-0.83	l	0.83-0.96	0.72-1.03	m	0.72-0.77	a	0.77-0.83	l	0.83-0.96
026511-2121269	samromur_unverified_22.07	malla	L1	[_TOKEN_] hækkaðu í hátalaranum.	Malla, hækkaðu í hátalaranum.	1.27-1.81	m	1.27-1.41	a	1.41-1.49	l	1.49-1.607286163015464	1.27-1.81	m	1.27-1.41	a	1.41-1.49	l	1.49-1.6
016424-0985746	samromur_unverified_22.07	malla	L1	[_TOKEN_] bókaðu hring í golf á mánudaginn.	Malla, bókaðu hring í golf á mánudaginn.	0.84-1.34	m	0.84-0.9570006890750284	a	0.9570006890750284-1.03	l	1.03-1.15	0.84-1.34	m	0.84-0.95	a	0.95-1.03	l	1.03-1.15
013665-1012562	samromur_unverified_22.07	malla	L1	[_TOKEN_] hækkaðu í hátalaranum.	Malla, hækkaðu í hátalaranum.	0.91-1.31	m	0.91-0.9838053049828179	a	0.9838053049828179-1.06	l	1.06-1.159841602233677	0.91-1.31	m	0.91-0.97	a	0.97-1.06	l	1.06-1.15
021328-2898302	samromur_unverified_22.07	malla	L1	[_TOKEN_] hvenær kemur fimman?	Malla, hvenær kemur fimman?	0.44-0.91	m	0.44-0.52	a	0.52-0.6172668107459909	l	0.6172668107459909-0.7360559627362544	0.44-0.91	m	0.44-0.52	a	0.52-0.59	l	0.59-0.73
011266-0295339	samromur_unverified_22.07	malla	L1	Alla [_TOKEN_] sagði Dúlla Kalla.	Alla malla, sagði Dúlla Kalla.	1.16-1.69	m	1.16-1.27	a	1.27-1.34	l	1.34-1.5369403502648913	1.16-1.69	m	1.16-1.27	a	1.27-1.34	l	1.34-1.52
026395-2895564	samromur_unverified_22.07	malla	L1	[_TOKEN_] hvenær kemur fimman?	Malla, hvenær kemur fimman?	0.33-0.62	m	0.33-0.41	a	0.41-0.47	l	0.47-0.56	0.33-0.62	m	0.33-0.41	a	0.41-0.47	l	0.47-0.56
026478-2140481	samromur_unverified_22.07	malla	L1	[_TOKEN_] hvenær kemur fimman?	Malla, hvenær kemur fimman?	1.25-1.89	m	1.25-1.37	a	1.37-1.45	l	1.45-1.59	1.25-1.89	m	1.25-1.37	a	1.37-1.45	l	1.45-1.59
024477-1877071	samromur_unverified_22.07	malla	L1	Alla [_TOKEN_] sagði Dúlla Kalla.	Alla malla, sagði Dúlla Kalla.	1.3-1.84	m	1.3-1.4082268846649486	a	1.4082268846649486-1.5227565238402063	l	1.5227565238402063-1.7489525612113404	1.3-1.84	m	1.3-1.4	a	1.4-1.45	l	1.45-1.73
009133-0151188	samromur_21.05	malla	L1	[_TOKEN_] fór á eftir henni.	Malla fór á eftir henni.	0.97-1.4	m	0.97-1.09	a	1.09-1.18	l	1.18-1.35	0.97-1.4	m	0.97-1.09	a	1.09-1.18	l	1.18-1.35
